,OCUP
761810.0,11
122620.0,11
341115.0,11
716535.0,11
513325.0,11
239205.0,11
731130.0,11
90100.0,11
74600.0,11
142605.0,11
318415.0,11
762005.0,11
376415.0,11
725215.0,11
234445.0,11
515220.0,11
724320.0,11
766415.0,11
234450.0,11
765010.0,11
766325.0,11
261135.0,11
211105.0,11
71400.0,11
623210.0,11
776430.0,11
376405.0,11
66100.0,11
214225.0,10
513320.0,10
223107.0,10
821410.0,10
74500.0,10
391130.0,10
70300.0,10
731170.0,10
223136.0,10
741115.0,10
214220.0,10
316110.0,10
811805.0,10
752415.0,10
203505.0,10
910120.0,10
954115.0,10
213315.0,10
723205.0,10
14300.0,10
763120.0,10
723210.0,10
772105.0,10
723230.0,10
812105.0,10
224130.0,10
752325.0,10
773420.0,10
613420.0,10
223137.0,10
710105.0,10
223155.0,10
710220.0,10
371110.0,10
761220.0,10
415105.0,10
751130.0,10
214115.0,10
848210.0,10
992110.0,10
233205.0,10
761815.0,10
424110.0,10
716310.0,10
768125.0,10
915110.0,10
311615.0,10
234725.0,10
262815.0,10
811305.0,10
212215.0,10
251540.0,10
841320.0,10
131120.0,10
253205.0,10
862405.0,10
712215.0,9
215135.0,9
841605.0,9
821430.0,9
823245.0,9
122510.0,9
251545.0,9
214705.0,9
66400.0,9
761110.0,9
242250.0,9
822110.0,9
622730.0,9
724605.0,9
424115.0,9
762325.0,9
324110.0,9
215220.0,9
313505.0,9
716505.0,9
376235.0,9
413215.0,9
314315.0,9
234715.0,9
203305.0,9
911130.0,9
89900.0,9
234420.0,9
241340.0,9
821110.0,9
324105.0,9
241325.0,9
373120.0,9
215125.0,9
241025.0,9
234705.0,9
223530.0,9
811420.0,9
234760.0,9
724215.0,9
251110.0,9
311725.0,9
516140.0,9
377205.0,9
725220.0,9
123210.0,9
241205.0,9
233130.0,9
14100.0,9
77200.0,9
63600.0,9
314720.0,9
715310.0,9
613215.0,9
72300.0,9
711120.0,9
715540.0,9
622705.0,9
234440.0,9
372105.0,9
612420.0,9
760115.0,9
762310.0,8
761405.0,8
848420.0,8
377120.0,8
241035.0,8
242205.0,8
234612.0,8
632015.0,8
