,CODMUNRES
354690,836
3511706,835
3516002,835
3551801,834
354250,828
353410,827
3506706,827
354480,825
3536000,824
3517505,822
354515,821
355050,820
3523602,818
3514908,817
353230,814
352700,811
355390,807
3552601,807
3509908,806
353360,805
352420,805
351470,802
351885,801
3539400,801
3538204,801
351920,799
3546702,798
3517000,792
354805,791
351460,789
353282,787
350510,786
354810,785
3550001,783
3543808,783
355495,781
353680,779
353280,777
3522901,775
352650,774
3545407,772
3546009,771
353990,769
354325,767
3529807,765
351320,765
350260,758
353640,756
3525508,753
351210,749
3548609,748
3535200,746
3543709,746
355310,742
3516903,741
3523305,740
354820,739
351810,738
3532603,738
355320,736
354200,736
353570,734
351730,734
351190,733
3541703,723
353770,717
350310,716
3501152,716
351400,708
353610,704
3506805,699
3535002,698
3551900,695
3541901,695
3549953,694
350055,692
352630,691
350945,691
352660,690
3542909,688
3532504,687
3521309,686
355290,682
3518503,680
355200,680
3514304,676
3504909,674
3519402,672
3554706,667
352770,666
354040,664
354510,652
352110,648
3517901,647
353210,647
3536307,645
3537206,642
3539004,642
3500402,642
3502754,642
355120,641
350300,641
352450,639
352950,638
354270,637
350230,636
3516606,636
3555604,636
352060,635
3540903,631
352370,627
3543501,625
355690,625
3528601,619
352070,616
3519105,616
3555802,615
354320,613
350980,610
351260,603
351925,602
3539103,601
351250,599
350080,590
350110,587
352580,587
350350,586
3532009,585
350770,584
353160,582
3521606,581
3536604,579
354700,578
3504404,578
355535,569
3504602,567
355550,566
3505401,565
350910,564
3517802,564
3544202,564
354650,562
350430,559
351890,555
3542107,555
350075,555
3553955,555
3503604,553
3519907,551
3515202,548
3517208,546
3509304,545
354010,542
354360,541
350535,538
3512902,537
350120,537
350830,536
352780,532
351710,531
3519006,531
353040,528
352960,528
352300,528
3556107,525
3503406,525
352890,524
352115,523
355420,517
3528106,517
3551108,515
355385,514
350020,514
351015,513
3544905,510
350730,508
3534807,508
353590,507
350140,506
3503703,505
3523800,505
352820,504
3540507,503
353420,501
3504800,500
3551405,499
3506904,499
3532306,498
353370,494
350060,494
354110,493
352490,491
354960,491
353960,488
353400,485
3553005,483
3544301,480
3511300,480
3545704,479
353270,479
3554409,478
354105,477
3553500,477
3515350,477
353220,475
3535101,475
354840,474
3537503,474
350890,473
354230,472
3549508,471
350200,470
3519808,469
351685,466
3557303,466
350820,463
354620,460
352830,457
3519501,456
354280,455
352215,455
3556354,453
3532900,453
3524204,453
3550506,452
3501806,449
352560,449
351519,449
352120,447
354450,447
350995,446
352080,446
353830,441
351590,441
3521507,440
3520202,440
3531209,438
354025,438
3511201,437
353170,436
350240,433
3518107,430
351680,428
3546900,428
3515152,423
352870,421
355460,419
3506409,419
354900,415
355255,415
3532827,413
3519204,411
3547908,411
3526308,410
3534104,410
354710,409
3536802,409
3505104,409
3548104,409
353325,409
351270,408
351492,407
3533601,406
353090,405
352200,405
3515608,401
3542503,399
3553203,396
350500,395
350090,394
351610,393
354740,392
354550,392
353205,388
354310,387
3520426,385
3539905,382
350150,382
353000,380
353450,378
3544608,378
3548203,378
354830,378
352265,377
3514700,377
353380,373
3551207,373
3518859,372
3502606,371
353690,369
3526506,368
355130,368
350715,367
353970,367
354165,366
354030,365
353310,365
3552304,365
3544806,364
3517307,364
3543253,363
351010,362
3512605,360
3554904,358
353330,357
352790,357
3527009,357
3514007,354
3526605,352
355365,351
3534757,350
3553906,349
351512,348
3509452,347
351650,347
3553104,347
3503109,344
3527603,343
3542008,343
355465,343
3519055,343
3520608,342
353320,341
351420,340
3508306,340
3554953,336
354930,336
3504305,335
352540,335
3545159,333
3552007,333
3525805,332
3535705,332
352725,331
3513207,330
354180,330
352885,329
351090,328
354920,325
3537701,324
3501103,324
3523701,322
3509809,320
3512100,320
3532801,319
350775,318
351495,318
3533700,316
354610,311
3540408,310
3548054,309
353625,308
354323,307
3514601,306
3520707,306
3554201,306
353284,306
