iter	Passed	Remaining
767	109704	33139
768	109728	32961
769	109753	32783
770	109782	32607
771	109807	32430
772	109830	32252
773	109854	32076
774	109880	31900
775	109904	31724
776	109930	31550
777	109953	31374
778	109976	31199
779	109999	31025
780	110026	30852
781	110050	30679
782	110075	30506
783	110101	30334
784	110126	30161
785	110150	29990
786	110174	29818
787	110201	29648
788	110226	29477
789	110250	29307
790	110276	29137
791	110302	28968
792	110326	28799
793	110351	28630
794	110374	28461
795	110398	28293
796	110423	28125
797	110448	27958
798	110476	27791
799	110499	27624
800	110523	27458
801	110554	27294
802	110578	27128
803	110601	26962
804	110625	26797
805	110649	26632
806	110673	26468
807	110697	26304
808	110722	26140
809	110746	25977
810	110772	25815
811	110799	25653
812	110824	25491
813	110848	25329
814	110872	25167
815	110896	25006
816	110920	24845
817	110945	24684
818	110971	24524
819	110996	24365
820	111019	24205
821	111046	24046
822	111073	23888
823	111098	23729
824	111122	23571
825	111146	23413
826	111170	23255
827	111194	23098
828	111221	22941
829	111244	22785
830	111268	22628
831	111294	22472
832	111321	22317
833	111345	22162
834	111368	22007
835	111392	21852
836	111416	21697
837	111442	21543
838	111466	21389
839	111493	21236
840	111516	21083
841	111542	20930
842	111564	20777
843	111592	20626
844	111617	20474
845	111640	20322
846	111669	20171
847	111693	20020
848	111717	19869
849	111742	19719
850	111766	19568
851	111789	19418
852	111814	19269
853	111841	19120
854	111867	18971
855	111892	18823
856	111915	18674
857	111939	18526
858	111962	18377
859	111988	18230
860	112014	18083
861	112037	17936
862	112060	17789
863	112086	17643
864	112112	17497
865	112135	17351
866	112158	17205
867	112181	17059
868	112205	16914
869	112229	16769
870	112254	16625
871	112278	16481
872	112301	16337
873	112326	16193
874	112357	16051
875	112385	15908
876	112411	15765
877	112434	15622
878	112458	15480
879	112482	15338
880	112508	15196
881	112532	15055
882	112555	14913
883	112580	14773
884	112606	14632
885	112630	14491
886	112653	14351
887	112676	14211
888	112700	14071
889	112723	13932
890	112749	13793
891	112774	13654
892	112796	13515
893	112823	13377
894	112848	13239
895	112872	13101
896	112896	12963
897	112921	12826
898	112945	12689
899	112969	12552
900	112994	12415
901	113020	12279
902	113043	12143
903	113068	12007
904	113095	11871
905	113118	11736
906	113143	11601
907	113166	11466
908	113200	11332
909	113226	11198
910	113249	11063
911	113272	10929
912	113296	10796
913	113321	10662
914	113346	10529
915	113370	10396
916	113393	10263
917	113417	10130
918	113441	9998
919	113467	9866
920	113493	9735
921	113520	9603
922	113547	9472
923	113573	9341
924	113603	9211
925	113629	9080
926	113655	8950
927	113695	8821
928	113733	8692
929	113760	8562
930	113784	8433
931	113809	8303
932	113835	8174
933	113859	8045
