iter	Passed	Remaining
700	20012	8535
701	20041	8507
702	20067	8478
703	20095	8449
704	20124	8421
705	20154	8392
706	20178	8362
707	20209	8334
708	20239	8306
709	20264	8276
710	20290	8247
711	20319	8218
712	20348	8190
713	20376	8161
714	20403	8132
715	20433	8104
716	20462	8076
717	20490	8047
718	20515	8017
719	20554	7993
720	20582	7964
721	20614	7937
722	20640	7907
723	20667	7878
724	20696	7850
725	20720	7820
726	20746	7790
727	20776	7762
728	20803	7733
729	20830	7704
730	20859	7676
731	20886	7646
732	20911	7617
733	20944	7590
734	20972	7561
735	20998	7532
736	21026	7503
737	21053	7474
738	21083	7446
739	21111	7417
740	21136	7387
741	21164	7359
742	21192	7330
743	21220	7301
744	21248	7272
745	21277	7244
746	21306	7216
747	21332	7187
748	21356	7156
749	21386	7128
750	21414	7100
751	21441	7071
752	21466	7041
753	21492	7012
754	21522	6984
755	21548	6954
756	21573	6925
757	21601	6896
758	21627	6867
759	21657	6839
760	21686	6811
761	21715	6782
762	21741	6753
763	21768	6724
764	21793	6694
765	21821	6666
766	21846	6636
767	21873	6607
768	21900	6578
769	21929	6550
770	21954	6520
771	21983	6492
772	22010	6463
773	22037	6434
774	22068	6406
775	22093	6377
776	22132	6352
777	22167	6325
778	22193	6296
779	22223	6268
780	22250	6239
781	22280	6211
782	22309	6182
783	22337	6154
784	22370	6126
785	22397	6098
786	22426	6069
787	22459	6042
788	22492	6015
789	22522	5987
790	22554	5959
791	22582	5930
792	22609	5901
793	22637	5873
794	22669	5845
795	22698	5817
796	22725	5788
797	22753	5759
798	22780	5730
799	22812	5703
800	22845	5675
801	22875	5647
802	22905	5619
803	22937	5591
804	22967	5563
805	22996	5535
806	23025	5506
807	23058	5479
808	23092	5452
809	23122	5423
810	23157	5396
811	23185	5368
812	23215	5339
813	23242	5310
814	23269	5282
815	23295	5252
816	23321	5223
817	23350	5195
818	23376	5166
819	23406	5137
820	23433	5109
821	23459	5080
822	23487	5051
823	23514	5022
824	23545	4994
825	23572	4965
826	23598	4936
827	23623	4907
828	23650	4878
829	23679	4849
830	23705	4820
831	23739	4793
832	23765	4764
833	23792	4735
834	23817	4706
835	23846	4677
836	23871	4648
837	23897	4619
838	23923	4590
839	23950	4561
840	23976	4533
841	24007	4504
842	24039	4477
843	24072	4449
844	24102	4421
845	24131	4392
846	24163	4364
847	24189	4335
848	24221	4307
849	24248	4279
850	24281	4251
851	24310	4222
852	24341	4194
853	24372	4166
854	24397	4137
855	24428	4109
856	24456	4080
857	24488	4052
858	24520	4024
859	24549	3996
860	24575	3967
861	24607	3939
862	24637	3911
863	24664	3882
864	24696	3854
865	24724	3825
866	24752	3797
867	24779	3768
868	24811	3740
869	24838	3711
870	24862	3682
871	24892	3653
872	24919	3625
873	24946	3596
874	24977	3568
875	25008	3539
876	25037	3511
877	25067	3483
878	25095	3454
879	25123	3425
880	25152	3397
881	25182	3369
882	25212	3340
883	25239	3311
884	25267	3283
885	25295	3254
886	25337	3227
887	25366	3199
888	25395	3170
889	25420	3141
890	25449	3113
891	25476	3084
892	25505	3056
893	25537	3027
894	25562	2998
895	25591	2970
896	25618	2941
897	25645	2912
898	25675	2884
899	25703	2855
900	25733	2827
901	25765	2799
902	25791	2770
903	25819	2741
904	25849	2713
905	25877	2684
906	25909	2656
907	25938	2628
908	25966	2599
909	25998	2571
910	26023	2542
911	26048	2513
912	26077	2484
913	26102	2456
914	26132	2427
915	26159	2398
916	26188	2370
917	26218	2341
918	26248	2313
919	26276	2284
920	26304	2256
921	26330	2227
922	26359	2198
923	26387	2170
924	26411	2141
925	26434	2112
926	26462	2083
927	26486	2054
928	26516	2026
929	26545	1998
930	26577	1969
931	26610	1941
932	26639	1913
933	26669	1884
934	26708	1856
935	26741	1828
936	26769	1799
937	26794	1771
938	26815	1742
939	26847	1713
940	26875	1685
941	26904	1656
942	26939	1628
943	26963	1599
944	26988	1570
945	27011	1541
946	27038	1513
947	27066	1484
948	27096	1456
949	27130	1427
950	27159	1399
951	27189	1370
952	27218	1342
953	27249	1313
954	27275	1285
955	27303	1256
956	27330	1228
957	27361	1199
958	27389	1170
959	27418	1142
960	27441	1113
961	27470	1085
962	27497	1056
963	27527	1028
964	27553	999
965	27587	970
966	27612	942
967	27642	913
968	27670	885
969	27697	856
970	27725	828
971	27751	799
972	27782	770
973	27808	742
974	27831	713
975	27857	685
976	27881	656
977	27910	627
978	27940	599
979	27969	570
980	27997	542
981	28027	513
