iter	MultiClass	Accuracy
198	1.618600793	0.4821405377
199	1.61719795	0.4831796337
200	1.616264341	0.4830497467
201	1.614318153	0.4834394077
202	1.612443058	0.4856474867
203	1.611424118	0.4873360177
204	1.609260978	0.4883751137
205	1.606960681	0.4892843226
206	1.605755995	0.4895440966
207	1.604096716	0.4912326276
208	1.603019209	0.4917521756
209	1.601696234	0.4920119496
210	1.598756426	0.4929211586
211	1.597593121	0.4937004806
212	1.59610942	0.4948694636
213	1.593917608	0.4956487856
214	1.592464029	0.4961683335
215	1.591546985	0.4973373165
216	1.58989116	0.4982465255
217	1.588189592	0.4994155085
218	1.5869812	0.4996752825
219	1.585152783	0.5007143785
220	1.583926907	0.5007143785
221	1.582757957	0.5011040395
222	1.580880376	0.5014937005
223	1.579090633	0.5020132485
224	1.577392009	0.5037017795
225	1.575643968	0.5056500844
226	1.574615742	0.5043512144
227	1.573114556	0.5059098584
228	1.572486756	0.5062995194
229	1.570779031	0.5051305364
230	1.569010046	0.5064294064
231	1.567406417	0.5069489544
232	1.566412615	0.5074685024
233	1.564560695	0.5086374854
234	1.562935916	0.5117547733
235	1.561608964	0.5126639823
236	1.560282769	0.5143525133
237	1.55916885	0.5152617223
238	1.558372398	0.5160410443
239	1.556530644	0.5178594623
240	1.556070493	0.5174698013
241	1.554873882	0.5182491233
242	1.554019552	0.5181192363
243	1.552590268	0.5187686713
244	1.551417559	0.5186387843
245	1.550473157	0.5186387843
246	1.548998312	0.5192882192
247	1.547229167	0.5199376542
248	1.546349917	0.5199376542
249	1.545448514	0.5207169762
250	1.544610775	0.5204572022
251	1.542743385	0.5201974282
252	1.541240422	0.5216261852
253	1.53956262	0.5234446032
254	1.538188727	0.5235744902
255	1.536043602	0.5257825692
256	1.534165598	0.5265618912
257	1.533426435	0.5278607611
258	1.532262975	0.5273412131
259	1.531378946	0.5283803091
260	1.52974278	0.5300688401
261	1.528548433	0.5292895181
262	1.527016554	0.5303286141
263	1.526146189	0.5309780491
264	1.525052724	0.5301987271
265	1.524572335	0.5311079361
